system:index,co,dewpoint_temperature_2m,hcho,lat,lon,no2,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0,0.04077780351540596,287.5624346937763,2.0215631597968406E-4,28.35,76.85,6.258169638926466E-5,98071.22176307441,298.14661275088537,0.0023267504159719303,0.46014487558303885,-0.3983491283573516,"{""type"":""Point"",""coordinates"":[76.85,28.349999999999994]}"
1,0.04058869952413631,287.54127896104205,2.2132591505089546E-4,28.35,76.91,6.924040181943708E-5,97932.4163977775,298.07750846827946,0.0023734809882021255,0.46736246396417525,-0.45302849033651826,"{""type"":""Point"",""coordinates"":[76.91,28.349999999999994]}"
2,0.041047414588771244,287.68166740103953,2.2640954769182734E-4,28.35,76.97,7.353716011444466E-5,98002.41297311996,298.05110560726354,0.0024308313118269324,0.46423306051454577,-0.507918939198533,"{""type"":""Point"",""coordinates"":[76.97,28.35]}"
3,0.04119175862335511,287.68166740103953,2.422878366868737E-4,28.35,77.03,7.548050019810334E-5,98002.41297311996,298.05110560726354,0.0024308313118269324,0.46423306051454577,-0.507918939198533,"{""type"":""Point"",""coordinates"":[77.03,28.349999999999994]}"
4,0.0414328913280103,287.89323855186717,2.4444130789041344E-4,28.35,77.08999999999999,7.931520616001158E-5,98215.75863522047,298.0789688528402,0.002502830824133564,0.4536384164470517,-0.5670370898834648,"{""type"":""Point"",""coordinates"":[77.08999999999999,28.35]}"
5,0.041850096143010926,288.0747239970726,2.3946651001320132E-4,28.35,77.14999999999999,8.159281532889945E-5,98367.63260782322,298.07976392632736,0.002529384325955108,0.43312748251440314,-0.6066996853101193,"{""type"":""Point"",""coordinates"":[77.14999999999999,28.350000000000005]}"
6,0.042186595699946886,288.0747239970726,2.4249906508800798E-4,28.35,77.21,8.714655493694736E-5,98367.63260782322,298.07976392632736,0.002529384325955108,0.43312748251440314,-0.6066996853101193,"{""type"":""Point"",""coordinates"":[77.21,28.35]}"
7,0.042952752305022636,288.2195419729573,2.633336348567753E-4,28.35,77.27,1.0524265159353575E-4,98442.06890919308,298.0443610831481,0.002485560990686382,0.3972786089056702,-0.6162499871972484,"{""type"":""Point"",""coordinates"":[77.27,28.349999999999994]}"
8,0.04356770778840262,288.2195419729573,2.6503945022380903E-4,28.35,77.33,1.1208777877202576E-4,98442.06890919308,298.0443610831481,0.002485560990686382,0.3972786089056702,-0.6162499871972484,"{""type"":""Point"",""coordinates"":[77.33,28.350000000000005]}"
9,0.043942224601906145,288.35399857612515,2.8088999708528184E-4,28.35,77.39,1.0247605762727444E-4,98502.07290462687,297.9983045673804,0.0024164671231623525,0.3580454334276454,-0.6142021601602906,"{""type"":""Point"",""coordinates"":[77.39000000000001,28.35]}"
