system:index,date,mean,name,.geo
20240101T074458_20240102T234559_0,2024-01-01,1.374528504522078E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T074458_20240102T234559_1,2024-01-01,3.243070009836064E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T074458_20240102T234559_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T074458_20240102T234559_3,2024-01-01,-7.414026753463683E-6,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T074458_20240102T234559_4,2024-01-01,3.4285834987542787E-4,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T092629_20240103T013302_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T092629_20240103T013302_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T092629_20240103T013302_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T092629_20240103T013302_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T092629_20240103T013302_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T110759_20240103T033225_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T110759_20240103T033225_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T110759_20240103T033225_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T110759_20240103T033225_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T110759_20240103T033225_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T124929_20240103T050453_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T124929_20240103T050453_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T124929_20240103T050453_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T124929_20240103T050453_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T124929_20240103T050453_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T143058_20240103T063233_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T143058_20240103T063233_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T143058_20240103T063233_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T143058_20240103T063233_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T143058_20240103T063233_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T161228_20240103T082601_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T161228_20240103T082601_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T161228_20240103T082601_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T161228_20240103T082601_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T161228_20240103T082601_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T175358_20240103T102512_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T175358_20240103T102512_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T175358_20240103T102512_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T175358_20240103T102512_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T175358_20240103T102512_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T193528_20240103T115147_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T193528_20240103T115147_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T193528_20240103T115147_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T193528_20240103T115147_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T193528_20240103T115147_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T211658_20240103T131905_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T211658_20240103T131905_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T211658_20240103T131905_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T211658_20240103T131905_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T211658_20240103T131905_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T225828_20240103T144817_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
