system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo,wind_speed,wind_dir_rad,plume_score_nov,plume_score_oct
0,,,0.0001735357814971,28.0,74.5,0.5646471573246853,0.3473479900095199,"{""type"":""Point"",""coordinates"":[74.5,27.999999999999996]}",0.6629306437618504,1.0193047355378786,0.0,0.0
1,,,0.0001852201091512,28.0,74.65,0.5678874459531571,0.3514895644452835,"{""type"":""Point"",""coordinates"":[74.65000000000002,27.999999999999996]}",0.6678630587067494,1.0165649714835636,0.0,0.0
2,,,0.0001856542562642,28.0,74.8,0.5336402806970809,0.4139478570885129,"{""type"":""Point"",""coordinates"":[74.8,28.0]}",0.6753701041433735,0.9110454607779016,0.0,0.0
3,,,0.0002001136140098,28.0,74.95,0.4717438505755532,0.4962571561336517,"{""type"":""Point"",""coordinates"":[74.95,28.0]}",0.684699514801719,0.7600799381211245,0.0,0.0
4,,,0.0001845910839141,28.0,75.1,0.3832554201285043,0.6032911188072626,"{""type"":""Point"",""coordinates"":[75.1,28.0]}",0.7147341401455474,0.5659535746055986,0.0,0.0
5,,,0.0002102408228301,28.0,75.25,0.3243130915694767,0.6599463244279226,"{""type"":""Point"",""coordinates"":[75.25,28.0]}",0.7353285881082529,0.4567628486863652,0.0,0.0
6,,,0.0002005647579832,28.0,75.4,0.3369656794601017,0.6426031847794849,"{""type"":""Point"",""coordinates"":[75.4,28.0]}",0.7255926696313468,0.4829576940106616,0.0,0.0
7,,,0.0002043945272625,28.0,75.55,0.4997345732318031,0.5353701796796586,"{""type"":""Point"",""coordinates"":[75.55,28.0]}",0.7323632111004773,0.7509847017168814,0.0,0.0
8,,,0.0002285488487073,28.0,75.7,0.5898929933706917,0.4588687148359086,"{""type"":""Point"",""coordinates"":[75.7,28.0]}",0.747351484298381,0.9096865610573678,0.0,0.0
9,,,0.0002081342860459,28.0,75.85,0.6861145781146154,0.3642743951744502,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.0]}",0.7768198306435722,1.0827169976610396,0.0,0.0
10,,,0.0002382129258082,28.0,76.0,0.7979845596684348,0.2188808540503184,"{""type"":""Point"",""coordinates"":[76.0,28.0]}",0.8274588725362867,1.3030883716009944,0.0,0.0
11,,,0.0002207751650595,28.0,76.15,0.737081985341178,0.1078141629695892,"{""type"":""Point"",""coordinates"":[76.15,28.0]}",0.7449253297152176,1.4255547132641662,0.0,0.0
12,,,0.0002198135630078,28.0,76.3,0.7162099964088863,0.0455593208471934,"{""type"":""Point"",""coordinates"":[76.3,28.0]}",0.7176575859503433,1.5072702398465125,0.0,0.0
13,,,0.0002446285229508,28.0,76.45,0.6949534859922198,-0.0892300400469038,"{""type"":""Point"",""coordinates"":[76.45,28.0]}",0.7006585100742805,1.6984947872681482,0.0,0.0
14,,,0.0002282998812229,28.0,76.6,0.6912181344297198,-0.1479072047604454,"{""type"":""Point"",""coordinates"":[76.6,28.0]}",0.7068656524294772,1.7815978309418812,0.0,0.0
15,,,0.0002650473844705,28.0,76.75,0.6944787681102753,-0.2404826170868345,"{""type"":""Point"",""coordinates"":[76.75,28.0]}",0.7349371731494458,1.9041513620117767,0.0,0.0
16,,,0.0002370556200441,28.0,76.9,0.6819065431753795,-0.4098097383975983,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.0]}",0.7955756125667149,2.1119334578500912,0.0,0.0
17,,,0.0002704529595148,28.0,77.05,0.6187677085399629,-0.4899611055850983,"{""type"":""Point"",""coordinates"":[77.05,27.999999999999996]}",0.789262543212313,2.2405379257830558,0.0,0.0
