City,state,zone,latitude,longitude,date,CPCB_PM25,CPCB_PM10,CPCB_NO2_surface,CPCB_SO2,CPCB_CO_surface,CPCB_O3,CPCB_AQI,insat_aod,qa_flag,solar_zenith_angle,satellite_zenith_angle
Delhi,Delhi,North,28.6139,77.209,2024-01-01,148.0,297.84,53.44,16.85,2.026,40.38,322,0.754901424590337,0,24.86,14.41
Delhi,Delhi,North,28.6139,77.209,2024-01-02,155.48,310.28,50.12,25.12,1.792,32.93,328,0.6985681472803134,2,24.913333333333334,14.87
Delhi,Delhi,North,28.6139,77.209,2024-01-03,143.7,259.0,35.69,26.49,1.474,33.31,319,0.6422348699702898,2,24.966666666666665,15.33
Delhi,Delhi,North,28.6139,77.209,2024-01-04,128.66,225.99,69.48,21.28,1.951,23.34,308,0.5859015926602661,0,25.02,15.79
Delhi,Delhi,North,28.6139,77.209,2024-01-05,131.34,252.87,55.93,19.41,2.215,40.5,310,0.6294592777343637,0,24.96,15.17
Delhi,Delhi,North,28.6139,77.209,2024-01-06,129.67,234.45,54.68,17.12,2.177,25.38,308,0.6056075544135963,0,25.57,15.94
Delhi,Delhi,North,28.6139,77.209,2024-01-07,142.0,267.35,35.22,23.5,2.195,27.5,318,0.6919808393024358,0,26.77,14.97
Delhi,Delhi,North,28.6139,77.209,2024-01-08,114.77,193.96,50.21,27.69,2.034,19.96,283,0.6845386329423783,2,27.805,15.260000000000002
Delhi,Delhi,North,28.6139,77.209,2024-01-09,143.01,221.98,50.97,25.32,2.197,46.53,319,0.6770964265823207,0,28.84,15.55
Delhi,Delhi,North,28.6139,77.209,2024-01-10,149.09,231.36,46.43,20.86,2.03,47.35,323,0.7719028311684584,0,27.08,11.04
Delhi,Delhi,North,28.6139,77.209,2024-01-11,130.17,223.59,52.96,28.31,1.661,45.94,309,0.6740610125050105,0,27.89,12.17
Delhi,Delhi,North,28.6139,77.209,2024-01-12,141.38,258.81,58.43,19.18,2.039,52.97,317,0.7109328664788408,0,29.35,17.22
Delhi,Delhi,North,28.6139,77.209,2024-01-13,135.95,253.67,70.46,20.42,1.912,23.4,313,0.7299782476016522,2,29.155,15.879999999999999
Delhi,Delhi,North,28.6139,77.209,2024-01-14,151.66,281.49,52.62,24.19,2.374,32.41,325,0.7490236287244636,0,28.96,14.54
