system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0,,,0.0001735357814971842,28.0,74.5,0.5646471573246853,0.3473479900095199,"{""type"":""Point"",""coordinates"":[74.5,27.999999999999996]}"
1,,,0.00018522010915122071,28.0,74.65,0.5678874459531571,0.3514895644452835,"{""type"":""Point"",""coordinates"":[74.65000000000002,27.999999999999996]}"
2,,,0.00018565425626424251,28.0,74.8,0.5336402806970809,0.4139478570885129,"{""type"":""Point"",""coordinates"":[74.8,28.0]}"
3,,,0.00020011361400987585,28.0,74.95,0.4717438505755532,0.4962571561336517,"{""type"":""Point"",""coordinates"":[74.95,28.0]}"
4,,,0.0001845910839141562,28.0,75.1,0.3832554201285043,0.6032911188072626,"{""type"":""Point"",""coordinates"":[75.1,28.0]}"
5,,,0.00021024082283011372,28.0,75.25,0.3243130915694767,0.6599463244279226,"{""type"":""Point"",""coordinates"":[75.25,28.0]}"
6,,,0.00020056475798328497,28.0,75.4,0.3369656794601017,0.6426031847794849,"{""type"":""Point"",""coordinates"":[75.4,28.0]}"
7,,,0.00020439452726253316,28.0,75.55,0.4997345732318031,0.5353701796796586,"{""type"":""Point"",""coordinates"":[75.55,28.0]}"
8,,,0.00022854884870739684,28.0,75.7,0.5898929933706917,0.4588687148359086,"{""type"":""Point"",""coordinates"":[75.7,28.0]}"
9,,,0.00020813428604598717,28.0,75.85,0.6861145781146154,0.3642743951744502,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.0]}"
10,,,0.00023821292580825928,28.0,76.0,0.7979845596684348,0.2188808540503184,"{""type"":""Point"",""coordinates"":[76.0,28.0]}"
11,,,0.00022077516505957415,28.0,76.15,0.737081985341178,0.1078141629695892,"{""type"":""Point"",""coordinates"":[76.15,28.0]}"
12,,,0.0002198135630078517,28.0,76.3,0.7162099964088863,0.0455593208471934,"{""type"":""Point"",""coordinates"":[76.3,28.0]}"
13,,,0.00024462852295085985,28.0,76.45,0.6949534859922198,-0.0892300400469038,"{""type"":""Point"",""coordinates"":[76.45,28.0]}"
14,,,0.00022829988122295556,28.0,76.6,0.6912181344297198,-0.1479072047604454,"{""type"":""Point"",""coordinates"":[76.6,28.0]}"
15,,,0.0002650473844705117,28.0,76.75,0.6944787681102753,-0.2404826170868345,"{""type"":""Point"",""coordinates"":[76.75,28.0]}"
16,,,0.00023705562004419468,28.0,76.9,0.6819065431753795,-0.4098097383975983,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.0]}"
17,,,0.0002704529595148034,28.0,77.05,0.6187677085399629,-0.4899611055850983,"{""type"":""Point"",""coordinates"":[77.05,27.999999999999996]}"
18,,,0.00026849916136486874,28.0,77.2,0.6070387860139212,-0.5406769123342302,"{""type"":""Point"",""coordinates"":[77.2,28.0]}"
19,,,0.00027482121176717765,28.0,77.35,0.5673720379670458,-0.556908873054716,"{""type"":""Point"",""coordinates"":[77.35,28.0]}"
20,,,0.00029424001107207135,28.0,77.5,0.5532620661788515,-0.5676364799340567,"{""type"":""Point"",""coordinates"":[77.5,27.999999999999996]}"
21,,,0.0001684306949530286,28.15,74.5,0.5334029217561088,0.3429534587595198,"{""type"":""Point"",""coordinates"":[74.5,28.15]}"
22,,,0.00015619227418047404,28.15,74.65,0.5603858861658307,0.3290337132083046,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.14999999999999]}"
23,,,0.00018012524535793614,28.15,74.8,0.5834249622291988,0.338143210278617,"{""type"":""Point"",""coordinates"":[74.8,28.15]}"
24,,,0.00020006424580419876,28.15,74.95,0.5460036297639211,0.3929585450225405,"{""type"":""Point"",""coordinates"":[74.95,28.15]}"
25,,,0.0001918397755294756,28.15,75.1,0.4551226211918726,0.50723331173261,"{""type"":""Point"",""coordinates"":[75.1,28.15]}"
26,,,0.0002029809830221306,28.15,75.25,0.3790307700634004,0.5681050293975407,"{""type"":""Point"",""coordinates"":[75.25,28.15]}"
27,,,0.0002003653384205344,28.15,75.4,0.3469656116432614,0.5657138076093465,"{""type"":""Point"",""coordinates"":[75.4,28.15]}"
28,,,0.0002088747356543716,28.15,75.55,0.4349871231449976,0.4804005616241032,"{""type"":""Point"",""coordinates"":[75.55,28.15]}"
29,,,0.00020627083554537677,28.15,75.7,0.5234172311094071,0.4031768474313948,"{""type"":""Point"",""coordinates"":[75.7,28.15]}"
30,,,0.0001901243260949457,28.15,75.85,0.6068343182404835,0.316987746953964,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.15]}"
31,,,0.00022676834968613584,28.15,76.0,0.703245790137185,0.1918121013376447,"{""type"":""Point"",""coordinates"":[76.0,28.15]}"
32,,,0.00022611071743814005,28.15,76.15,0.6783899009227754,0.0962975071536169,"{""type"":""Point"",""coordinates"":[76.15,28.15]}"
33,,,0.00025093678870992766,28.15,76.3,0.6557051678498583,0.0355471816327837,"{""type"":""Point"",""coordinates"":[76.3,28.15]}"
34,,,0.00025219211243820316,28.15,76.45,0.6300924426979488,-0.0627187417613135,"{""type"":""Point"",""coordinates"":[76.45,28.15]}"
35,,,0.0002348881569590345,28.15,76.6,0.6283108943038516,-0.1126702527205149,"{""type"":""Point"",""coordinates"":[76.6,28.15]}"
36,,,0.00027541038626072644,28.15,76.75,0.6500048233403102,-0.206258170472251,"{""type"":""Point"",""coordinates"":[76.75,28.15]}"
37,,,0.0003118214502629671,28.15,76.9,0.6429939183923935,-0.3777750975555843,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.15]}"
38,,,0.0002928155099700696,28.15,77.05,0.6081065621640948,-0.4848226235972512,"{""type"":""Point"",""coordinates"":[77.05,28.15]}"
39,,,0.0002665577541394221,28.15,77.2,0.6137980904844069,-0.5533617132239871,"{""type"":""Point"",""coordinates"":[77.2,28.15]}"
40,,,0.0003180453203169689,28.15,77.35,0.5619633058706921,-0.5495646483368344,"{""type"":""Point"",""coordinates"":[77.35,28.15]}"
41,,319.8999938964844,0.0002906889580996013,28.15,77.5,0.5478987713654837,-0.5591112249427375,"{""type"":""Point"",""coordinates"":[77.5,28.15]}"
42,,,0.00017842551371725373,28.3,74.5,0.5135848065217336,0.2662875380780962,"{""type"":""Point"",""coordinates"":[74.5,28.3]}"
43,,,0.00017054039948058943,28.3,74.65,0.5619602541128794,0.2361622803741031,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.3]}"
44,,,0.0001759352286627829,28.3,74.8,0.5913591934574973,0.2385545194149017,"{""type"":""Point"",""coordinates"":[74.8,28.3]}"
45,,,0.0001965755277818597,28.3,74.95,0.5797008004453444,0.2634758518801795,"{""type"":""Point"",""coordinates"":[74.95,28.3]}"
46,,,0.0002039915663630866,28.3,75.1,0.5232768502500325,0.3043639812204573,"{""type"":""Point"",""coordinates"":[75.1,28.3]}"
47,,,0.00019341879049755673,28.3,75.25,0.4325626711050667,0.3781225939591725,"{""type"":""Point"",""coordinates"":[75.25,28.3]}"
48,,,0.00017859837979846376,28.3,75.4,0.4005714330408308,0.3667486925919849,"{""type"":""Point"",""coordinates"":[75.4,28.3]}"
49,,,0.00021327928920871189,28.3,75.55,0.3212186091476016,0.3433644288116032,"{""type"":""Point"",""coordinates"":[75.55,28.3]}"
50,,,0.00021082806093433392,28.3,75.7,0.3401462892691293,0.3211171143584781,"{""type"":""Point"",""coordinates"":[75.7,28.3]}"
51,,,0.00021967013105531863,28.3,75.85,0.3937300701936086,0.2596699708037905,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.3]}"
52,,,0.000224274208574029,28.3,76.0,0.4793769750330184,0.141725973950492,"{""type"":""Point"",""coordinates"":[76.0,28.3]}"
53,,,0.00023455429247171852,28.3,76.15,0.5085921307404836,0.0595679064591725,"{""type"":""Point"",""coordinates"":[76.15,28.3]}"
54,,,0.0002287922965688674,28.3,76.3,0.525209630197949,0.005762364466985,"{""type"":""Point"",""coordinates"":[76.3,28.3]}"
55,,,0.00025520327982649836,28.3,76.45,0.503843934668435,-0.0535265081458621,"{""type"":""Point"",""coordinates"":[76.45,28.3]}"
56,,,0.0002435042373341875,28.3,76.6,0.5061290231015947,-0.1107717202769385,"{""type"":""Point"",""coordinates"":[76.6,28.300000000000004]}"
57,,,0.00026080134529582965,28.3,76.75,0.5245891061094071,-0.1973734862274594,"{""type"":""Point"",""coordinates"":[76.75,28.300000000000004]}"
58,,,0.000303226359566445,28.3,76.9,0.5779128094514211,-0.3541507621606191,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.3]}"
59,,,0.00025385529307240406,28.3,77.05,0.6093343860573238,-0.5063453151120078,"{""type"":""Point"",""coordinates"":[77.05,28.3]}"
60,,,0.0003041795544782343,28.3,77.2,0.6076854195859696,-0.5589525335364872,"{""type"":""Point"",""coordinates"":[77.2,28.3]}"
61,,,0.000334017879041511,28.3,77.35,0.5578013863828448,-0.5586870306067997,"{""type"":""Point"",""coordinates"":[77.35,28.300000000000004]}"
62,,,0.0003285064520750968,28.3,77.5,0.5456852296988168,-0.5452921873993345,"{""type"":""Point"",""coordinates"":[77.5,28.3]}"
63,,,0.0001811569773166818,28.45,74.5,0.4662245770295458,0.120900778637992,"{""type"":""Point"",""coordinates"":[74.5,28.45]}"
64,,,0.00017583664229577444,28.45,74.65,0.4927769045035047,0.1026997559600406,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.45]}"
65,,,0.00016795001662249813,28.45,74.8,0.5085060033533308,0.0872561660077837,"{""type"":""Point"",""coordinates"":[74.8,28.45]}"
66,,,0.00017643650590196805,28.45,74.95,0.4964203642474282,0.0846750570668114,"{""type"":""Point"",""coordinates"":[74.95,28.45]}"
67,,,0.00020067732651087012,28.45,75.1,0.4404965632491643,0.1097388048966725,"{""type"":""Point"",""coordinates"":[75.1,28.450000000000003]}"
68,,,0.00022193950379809988,28.45,75.25,0.350785395171907,0.1616244521405961,"{""type"":""Point"",""coordinates"":[75.25,28.450000000000003]}"
69,,,0.0002106717434446677,28.45,75.4,0.2935174643993378,0.1745198243194156,"{""type"":""Point"",""coordinates"":[75.4,28.45]}"
