city,state,zone,latitude,longitude,date,CPCB_PM25,CPCB_PM10,CPCB_NO2_surface,CPCB_SO2,CPCB_CO_surface,CPCB_O3,CPCB_AQI
Delhi,Delhi,North,28.6139,77.209,2024-01-01,148.0,297.84,53.44,16.85,2.026,40.38,322
Delhi,Delhi,North,28.6139,77.209,2024-01-02,155.48,310.28,50.12,25.12,1.792,32.93,328
Delhi,Delhi,North,28.6139,77.209,2024-01-03,143.7,259.0,35.69,26.49,1.474,33.31,319
Delhi,Delhi,North,28.6139,77.209,2024-01-04,128.66,225.99,69.48,21.28,1.951,23.34,308
Delhi,Delhi,North,28.6139,77.209,2024-01-05,131.34,252.87,55.93,19.41,2.215,40.5,310
Delhi,Delhi,North,28.6139,77.209,2024-01-06,129.67,234.45,54.68,17.12,2.177,25.38,308
Delhi,Delhi,North,28.6139,77.209,2024-01-07,142.0,267.35,35.22,23.5,2.195,27.5,318
Delhi,Delhi,North,28.6139,77.209,2024-01-08,114.77,193.96,50.21,27.69,2.034,19.96,283
Delhi,Delhi,North,28.6139,77.209,2024-01-09,143.01,221.98,50.97,25.32,2.197,46.53,319
Delhi,Delhi,North,28.6139,77.209,2024-01-10,149.09,231.36,46.43,20.86,2.03,47.35,323
Delhi,Delhi,North,28.6139,77.209,2024-01-11,130.17,223.59,52.96,28.31,1.661,45.94,309
Delhi,Delhi,North,28.6139,77.209,2024-01-12,141.38,258.81,58.43,19.18,2.039,52.97,317
Delhi,Delhi,North,28.6139,77.209,2024-01-13,135.95,253.67,70.46,20.42,1.912,23.4,313
Delhi,Delhi,North,28.6139,77.209,2024-01-14,151.66,281.49,52.62,24.19,2.374,32.41,325
Delhi,Delhi,North,28.6139,77.209,2024-01-15,123.42,265.44,49.8,24.92,2.278,40.16,304
Delhi,Delhi,North,28.6139,77.209,2024-01-16,139.76,227.9,55.79,27.25,1.72,34.31,316
Delhi,Delhi,North,28.6139,77.209,2024-01-17,128.64,266.63,40.18,9.13,2.034,33.64,308
Delhi,Delhi,North,28.6139,77.209,2024-01-18,129.65,225.12,53.21,24.43,2.497,39.34,308
Delhi,Delhi,North,28.6139,77.209,2024-01-19,137.3,298.45,54.07,22.32,1.429,26.87,314
Delhi,Delhi,North,28.6139,77.209,2024-01-20,117.97,180.01,55.42,34.73,1.873,40.61,293
Delhi,Delhi,North,28.6139,77.209,2024-01-21,131.75,288.53,43.13,26.25,1.586,29.84,310
Delhi,Delhi,North,28.6139,77.209,2024-01-22,143.26,287.92,68.85,15.4,2.107,59.5,319
Delhi,Delhi,North,28.6139,77.209,2024-01-23,116.18,177.59,49.16,30.94,2.193,37.68,287
Delhi,Delhi,North,28.6139,77.209,2024-01-24,124.92,207.18,44.2,24.78,1.655,53.09,305
Delhi,Delhi,North,28.6139,77.209,2024-01-25,117.99,253.37,51.6,20.63,2.098,48.03,293
Delhi,Delhi,North,28.6139,77.209,2024-01-26,136.96,258.68,38.74,23.33,2.009,45.41,314
Delhi,Delhi,North,28.6139,77.209,2024-01-27,109.82,220.54,41.61,25.5,2.296,39.85,266
Delhi,Delhi,North,28.6139,77.209,2024-01-28,140.38,211.47,57.75,18.84,2.49,42.33,317
Delhi,Delhi,North,28.6139,77.209,2024-01-29,109.07,217.99,61.38,18.65,1.592,45.29,264
Delhi,Delhi,North,28.6139,77.209,2024-01-30,145.23,304.18,63.04,31.89,1.857,30.05,320
Delhi,Delhi,North,28.6139,77.209,2024-01-31,112.11,244.52,46.66,26.8,1.859,49.68,274
Delhi,Delhi,North,28.6139,77.209,2024-02-01,132.75,245.83,52.17,36.01,2.118,29.02,311
Delhi,Delhi,North,28.6139,77.209,2024-02-02,107.83,232.73,59.64,21.79,2.153,33.07,260
Delhi,Delhi,North,28.6139,77.209,2024-02-03,134.75,238.44,50.35,26.69,1.995,25.13,312
Delhi,Delhi,North,28.6139,77.209,2024-02-04,124.87,237.14,58.67,23.56,1.688,48.16,305
Delhi,Delhi,North,28.6139,77.209,2024-02-05,122.22,246.7,65.65,27.68,1.517,28.21,303
Delhi,Delhi,North,28.6139,77.209,2024-02-06,128.33,270.38,59.96,22.53,2.192,51.96,307
Delhi,Delhi,North,28.6139,77.209,2024-02-07,119.85,234.31,64.36,25.67,1.836,45.18,300
Delhi,Delhi,North,28.6139,77.209,2024-02-08,107.28,204.34,52.45,22.21,1.77,19.71,258
Delhi,Delhi,North,28.6139,77.209,2024-02-09,123.34,236.03,50.1,27.85,1.95,26.81,304
Delhi,Delhi,North,28.6139,77.209,2024-02-10,106.36,205.91,61.61,34.35,2.484,51.23,255
Delhi,Delhi,North,28.6139,77.209,2024-02-11,128.61,280.76,34.57,23.34,1.732,46.12,308
Delhi,Delhi,North,28.6139,77.209,2024-02-12,103.36,156.88,53.67,18.55,2.429,34.25,245
Delhi,Delhi,North,28.6139,77.209,2024-02-13,109.55,183.51,72.47,24.43,1.552,46.77,266
Delhi,Delhi,North,28.6139,77.209,2024-02-14,145.2,260.44,65.14,18.76,1.547,35.22,320
Delhi,Delhi,North,28.6139,77.209,2024-02-15,140.48,220.35,22.41,17.29,1.855,25.11,317
Delhi,Delhi,North,28.6139,77.209,2024-02-16,135.92,264.3,40.52,21.77,1.791,38.18,313
Delhi,Delhi,North,28.6139,77.209,2024-02-17,145.67,305.84,45.0,24.72,1.99,31.59,321
Delhi,Delhi,North,28.6139,77.209,2024-02-18,110.5,238.48,50.97,12.92,2.315,31.44,269
Delhi,Delhi,North,28.6139,77.209,2024-02-19,140.12,263.69,53.3,25.35,2.015,31.36,316
Delhi,Delhi,North,28.6139,77.209,2024-02-20,104.31,218.16,49.89,19.3,1.824,47.11,248
Delhi,Delhi,North,28.6139,77.209,2024-02-21,128.2,271.04,62.95,25.56,1.682,31.99,307
Delhi,Delhi,North,28.6139,77.209,2024-02-22,116.58,255.71,60.92,13.47,1.565,30.9,289
Delhi,Delhi,North,28.6139,77.209,2024-02-23,121.76,261.97,52.64,27.9,2.178,45.73,302
Delhi,Delhi,North,28.6139,77.209,2024-02-24,122.86,211.81,55.03,21.21,2.187,34.88,303
Delhi,Delhi,North,28.6139,77.209,2024-02-25,93.02,201.38,55.79,25.39,1.685,58.51,211
Delhi,Delhi,North,28.6139,77.209,2024-02-26,86.05,169.58,42.68,26.26,2.131,30.6,187
Delhi,Delhi,North,28.6139,77.209,2024-02-27,99.93,188.33,64.57,21.67,1.683,34.38,234
Delhi,Delhi,North,28.6139,77.209,2024-02-28,105.17,203.26,49.18,20.24,1.992,43.18,251
Delhi,Delhi,North,28.6139,77.209,2024-02-29,110.97,172.77,40.34,15.37,1.715,35.46,270
Delhi,Delhi,North,28.6139,77.209,2024-03-01,101.44,182.28,69.57,20.9,1.929,30.77,239
Delhi,Delhi,North,28.6139,77.209,2024-03-02,94.94,150.31,58.05,18.27,2.086,52.92,217
Delhi,Delhi,North,28.6139,77.209,2024-03-03,92.92,157.96,58.84,20.69,2.068,38.29,211
Delhi,Delhi,North,28.6139,77.209,2024-03-04,108.18,237.47,55.8,18.54,1.938,42.57,261
Delhi,Delhi,North,28.6139,77.209,2024-03-05,114.07,207.4,64.41,28.41,2.476,36.48,280
Delhi,Delhi,North,28.6139,77.209,2024-03-06,105.81,204.65,46.42,19.41,1.294,32.33,253
Delhi,Delhi,North,28.6139,77.209,2024-03-07,78.64,171.6,56.32,12.85,2.039,43.3,163
Delhi,Delhi,North,28.6139,77.209,2024-03-08,103.44,166.94,41.62,31.57,2.285,32.9,245
Delhi,Delhi,North,28.6139,77.209,2024-03-09,62.04,135.18,68.36,23.79,2.014,13.07,108
Delhi,Delhi,North,28.6139,77.209,2024-03-10,73.07,123.58,54.87,22.64,1.796,43.82,144
Delhi,Delhi,North,28.6139,77.209,2024-03-11,69.41,150.48,53.39,15.57,2.091,48.2,132
Delhi,Delhi,North,28.6139,77.209,2024-03-12,107.39,188.01,58.14,18.67,2.396,38.75,258
Delhi,Delhi,North,28.6139,77.209,2024-03-13,100.8,190.13,55.49,27.54,1.981,27.39,237
Delhi,Delhi,North,28.6139,77.209,2024-03-14,77.9,118.42,61.27,29.25,1.641,44.45,160
Delhi,Delhi,North,28.6139,77.209,2024-03-15,96.65,171.51,37.23,26.84,1.89,39.59,223
Delhi,Delhi,North,28.6139,77.209,2024-03-16,47.04,96.36,71.1,15.51,1.42,37.04,79
Delhi,Delhi,North,28.6139,77.209,2024-03-17,84.19,155.31,54.49,28.02,1.498,36.36,181
Delhi,Delhi,North,28.6139,77.209,2024-03-18,76.12,121.05,58.48,17.71,1.777,27.0,154
Delhi,Delhi,North,28.6139,77.209,2024-03-19,75.14,147.82,64.37,20.18,1.788,29.44,151
Delhi,Delhi,North,28.6139,77.209,2024-03-20,66.52,103.91,53.75,17.23,1.765,25.61,123
Delhi,Delhi,North,28.6139,77.209,2024-03-21,103.2,157.64,55.17,24.98,2.292,46.1,245
Delhi,Delhi,North,28.6139,77.209,2024-03-22,63.24,127.99,49.51,19.53,1.848,14.57,112
Delhi,Delhi,North,28.6139,77.209,2024-03-23,48.65,88.72,68.49,26.67,1.634,37.88,81
Delhi,Delhi,North,28.6139,77.209,2024-03-24,84.73,158.65,53.54,17.63,1.449,39.63,183
Delhi,Delhi,North,28.6139,77.209,2024-03-25,57.68,87.33,40.6,17.1,1.734,29.86,96
Delhi,Delhi,North,28.6139,77.209,2024-03-26,62.59,132.9,71.69,26.82,1.928,52.39,110
Delhi,Delhi,North,28.6139,77.209,2024-03-27,67.84,129.63,46.21,20.21,2.405,33.71,127
Delhi,Delhi,North,28.6139,77.209,2024-03-28,55.48,97.33,64.08,31.96,1.511,43.22,93
Delhi,Delhi,North,28.6139,77.209,2024-03-29,54.58,89.0,49.95,18.27,1.767,12.56,91
Delhi,Delhi,North,28.6139,77.209,2024-03-30,73.45,160.68,52.43,17.87,1.758,45.14,145
Delhi,Delhi,North,28.6139,77.209,2024-03-31,69.53,149.53,45.04,32.63,2.417,46.92,132
Delhi,Delhi,North,28.6139,77.209,2024-04-01,49.43,80.62,47.19,13.38,1.442,38.07,83
Delhi,Delhi,North,28.6139,77.209,2024-04-02,63.6,108.25,45.78,16.71,2.011,65.43,113
Delhi,Delhi,North,28.6139,77.209,2024-04-03,34.39,52.83,46.21,20.49,2.233,31.82,58
Delhi,Delhi,North,28.6139,77.209,2024-04-04,69.94,142.13,43.52,18.79,2.661,19.89,134
Delhi,Delhi,North,28.6139,77.209,2024-04-05,40.78,87.7,58.53,19.39,1.957,36.03,69
Delhi,Delhi,North,28.6139,77.209,2024-04-06,72.65,116.08,57.36,19.44,2.107,34.41,143
Delhi,Delhi,North,28.6139,77.209,2024-04-07,49.21,101.88,57.72,32.79,2.192,34.33,82
Delhi,Delhi,North,28.6139,77.209,2024-04-08,70.89,128.13,50.74,19.03,1.262,48.11,137
Delhi,Delhi,North,28.6139,77.209,2024-04-09,39.1,72.41,58.09,21.31,2.18,15.48,66
Delhi,Delhi,North,28.6139,77.209,2024-04-10,54.18,85.7,62.53,23.24,2.101,28.84,90
Delhi,Delhi,North,28.6139,77.209,2024-04-11,43.53,89.49,61.15,33.76,1.985,40.07,73
Delhi,Delhi,North,28.6139,77.209,2024-04-12,41.55,69.55,46.32,29.96,2.051,34.12,70
Delhi,Delhi,North,28.6139,77.209,2024-04-13,59.78,124.04,52.12,17.52,1.797,41.36,100
Delhi,Delhi,North,28.6139,77.209,2024-04-14,57.62,115.47,45.6,29.34,2.233,21.27,96
Delhi,Delhi,North,28.6139,77.209,2024-04-15,49.4,86.06,37.03,29.89,2.127,37.03,83
Delhi,Delhi,North,28.6139,77.209,2024-04-16,48.32,89.59,43.56,21.4,1.945,55.41,81
Delhi,Delhi,North,28.6139,77.209,2024-04-17,51.92,111.4,46.91,24.77,2.495,51.04,87
Delhi,Delhi,North,28.6139,77.209,2024-04-18,65.91,141.98,49.71,21.96,2.165,62.98,121
Delhi,Delhi,North,28.6139,77.209,2024-04-19,48.83,86.89,53.24,20.27,1.627,21.04,82
Delhi,Delhi,North,28.6139,77.209,2024-04-20,52.29,91.11,55.55,28.76,1.685,22.56,87
Delhi,Delhi,North,28.6139,77.209,2024-04-21,35.01,63.6,52.36,21.05,1.122,37.05,59
Delhi,Delhi,North,28.6139,77.209,2024-04-22,34.45,65.67,61.78,17.32,2.086,29.6,58
Delhi,Delhi,North,28.6139,77.209,2024-04-23,34.44,75.7,80.55,22.71,1.935,37.35,58
Delhi,Delhi,North,28.6139,77.209,2024-04-24,38.89,63.93,53.37,35.26,1.599,51.48,66
Delhi,Delhi,North,28.6139,77.209,2024-04-25,5.0,9.04,67.28,12.04,1.828,33.88,8
Delhi,Delhi,North,28.6139,77.209,2024-04-26,12.87,25.1,47.04,20.6,1.91,42.44,21
Delhi,Delhi,North,28.6139,77.209,2024-04-27,21.43,42.04,62.04,16.76,1.773,42.48,36
Delhi,Delhi,North,28.6139,77.209,2024-04-28,13.75,21.58,61.95,26.48,1.649,39.94,23
Delhi,Delhi,North,28.6139,77.209,2024-04-29,34.94,62.13,44.01,25.49,2.109,34.5,59
Delhi,Delhi,North,28.6139,77.209,2024-04-30,35.12,63.05,42.31,16.2,1.686,50.75,59
Delhi,Delhi,North,28.6139,77.209,2024-05-01,5.0,8.44,42.01,31.18,1.306,54.56,8
Delhi,Delhi,North,28.6139,77.209,2024-05-02,31.6,64.29,53.85,27.27,1.921,34.23,54
Delhi,Delhi,North,28.6139,77.209,2024-05-03,47.75,72.37,57.9,13.86,1.526,45.02,80
Delhi,Delhi,North,28.6139,77.209,2024-05-04,29.25,64.04,52.98,15.97,1.961,21.29,49
Delhi,Delhi,North,28.6139,77.209,2024-05-05,34.12,64.41,65.11,24.77,2.008,47.42,58
Delhi,Delhi,North,28.6139,77.209,2024-05-06,49.98,81.11,64.96,21.62,2.173,41.43,84
Delhi,Delhi,North,28.6139,77.209,2024-05-07,5.0,7.66,60.0,18.78,1.987,30.04,8
