latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,sensor_source
38.03705,94.61147,317.63,1.89,1.34,2026-07-01,321,T,48,6.1NRT,298.1,18.46,D,MODIS
34.48546,87.69999,302.58,1.02,1.01,2026-07-01,321,T,52,6.1NRT,290.45,4.79,D,MODIS
32.11213,92.30606,305.1,1.86,1.33,2026-07-01,321,T,56,6.1NRT,287.81,13.21,D,MODIS
31.43525,92.00277,315.98,1.83,1.33,2026-07-01,323,T,70,6.1NRT,290.39,28.45,D,MODIS
31.07826,91.055,301.91,1.62,1.25,2026-07-01,323,T,35,6.1NRT,286.15,8.66,D,MODIS
29.19009,88.88744,318.54,1.29,1.13,2026-07-01,323,T,47,6.1NRT,299.05,13.28,D,MODIS
34.44136,71.75677,318.0,3.03,1.66,2026-07-01,459,T,66,6.1NRT,293.14,27.29,D,MODIS
34.43966,71.74926,318.32,3.03,1.66,2026-07-01,459,T,62,6.1NRT,293.21,29.36,D,MODIS
30.22575,72.49121,318.57,4.38,1.93,2026-07-01,501,T,36,6.1NRT,297.89,46.52,D,MODIS
32.27005,96.81326,306.84,1.34,1.15,2026-07-01,824,A,64,6.1NRT,293.26,8.72,D,MODIS
9.77134,78.26979,331.3,1.32,1.14,2026-07-01,956,A,83,6.1NRT,297.2,30.51,D,MODIS
9.76948,78.25819,331.7,1.32,1.14,2026-07-01,956,A,83,6.1NRT,296.85,30.82,D,MODIS
26.48295,79.06618,316.68,1.04,1.02,2026-07-01,1002,A,48,6.1NRT,289.65,7.03,D,MODIS
30.20865,72.87314,333.61,1.33,1.14,2026-07-01,1004,A,80,6.1NRT,306.05,25.41,D,MODIS
30.20627,72.85996,331.35,1.33,1.14,2026-07-01,1004,A,77,6.1NRT,306.31,20.95,D,MODIS
30.22794,72.92328,330.09,1.32,1.14,2026-07-01,1004,A,75,6.1NRT,306.27,18.64,D,MODIS
30.38601,73.65352,324.97,1.2,1.09,2026-07-01,1004,A,68,6.1NRT,301.88,10.0,D,MODIS
30.39913,73.07918,324.82,1.28,1.12,2026-07-01,1004,A,65,6.1NRT,304.23,9.76,D,MODIS
30.88205,75.92687,333.09,1.01,1.0,2026-07-01,1004,A,84,6.1NRT,298.34,21.6,D,MODIS
30.50333,73.53919,327.44,1.21,1.09,2026-07-01,1004,A,72,6.1NRT,302.35,12.47,D,MODIS
30.55607,73.78702,325.97,1.18,1.08,2026-07-01,1004,A,70,6.1NRT,301.09,12.01,D,MODIS
30.59128,73.93636,322.53,1.16,1.07,2026-07-01,1004,A,62,6.1NRT,299.34,7.09,D,MODIS
30.61711,73.9184,328.02,1.16,1.07,2026-07-01,1004,A,74,6.1NRT,300.34,14.47,D,MODIS
30.62784,73.86766,323.26,1.16,1.07,2026-07-01,1004,A,64,6.1NRT,300.47,7.99,D,MODIS
30.73348,73.94616,323.51,1.15,1.07,2026-07-01,1004,A,53,6.1NRT,300.14,7.03,D,MODIS
