system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0,,,1.735357814971842E-4,28.0,74.5,0.5646471573246853,0.34734799000951994,"{""type"":""Point"",""coordinates"":[74.5,27.999999999999996]}"
1,,,1.8522010915122071E-4,28.0,74.65,0.5678874459531571,0.35148956444528356,"{""type"":""Point"",""coordinates"":[74.65000000000002,27.999999999999996]}"
2,,,1.8565425626424251E-4,28.0,74.8,0.5336402806970809,0.41394785708851295,"{""type"":""Point"",""coordinates"":[74.8,28.0]}"
3,,,2.0011361400987582E-4,28.0,74.95,0.4717438505755532,0.4962571561336517,"{""type"":""Point"",""coordinates"":[74.95,28.0]}"
4,,,1.845910839141562E-4,28.0,75.1,0.3832554201285043,0.6032911188072626,"{""type"":""Point"",""coordinates"":[75.1,28.0]}"
5,,,2.1024082283011372E-4,28.0,75.25,0.32431309156947674,0.6599463244279226,"{""type"":""Point"",""coordinates"":[75.25,28.0]}"
6,,,2.0056475798328494E-4,28.0,75.4,0.33696567946010175,0.6426031847794849,"{""type"":""Point"",""coordinates"":[75.4,28.0]}"
7,,,2.0439452726253316E-4,28.0,75.55,0.4997345732318031,0.5353701796796586,"{""type"":""Point"",""coordinates"":[75.55,28.0]}"
8,,,2.2854884870739684E-4,28.0,75.7,0.5898929933706917,0.45886871483590863,"{""type"":""Point"",""coordinates"":[75.7,28.0]}"
9,,,2.0813428604598717E-4,28.0,75.85,0.6861145781146154,0.36427439517445026,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.0]}"
10,,,2.3821292580825928E-4,28.0,76.0,0.7979845596684348,0.21888085405031843,"{""type"":""Point"",""coordinates"":[76.0,28.0]}"
11,,,2.2077516505957415E-4,28.0,76.15,0.737081985341178,0.10781416296958923,"{""type"":""Point"",""coordinates"":[76.15,28.0]}"
12,,,2.198135630078517E-4,28.0,76.3,0.7162099964088863,0.04555932084719341,"{""type"":""Point"",""coordinates"":[76.3,28.0]}"
13,,,2.4462852295085985E-4,28.0,76.45,0.6949534859922198,-0.0892300400469038,"{""type"":""Point"",""coordinates"":[76.45,28.0]}"
14,,,2.2829988122295556E-4,28.0,76.6,0.6912181344297198,-0.14790720476044544,"{""type"":""Point"",""coordinates"":[76.6,28.0]}"
15,,,2.650473844705117E-4,28.0,76.75,0.6944787681102753,-0.24048261708683452,"{""type"":""Point"",""coordinates"":[76.75,28.0]}"
16,,,2.3705562004419468E-4,28.0,76.9,0.6819065431753795,-0.4098097383975983,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.0]}"
17,,,2.704529595148034E-4,28.0,77.05,0.6187677085399629,-0.4899611055850983,"{""type"":""Point"",""coordinates"":[77.05,27.999999999999996]}"
18,,,2.6849916136486874E-4,28.0,77.2,0.6070387860139212,-0.5406769123342302,"{""type"":""Point"",""coordinates"":[77.2,28.0]}"
19,,,2.7482121176717765E-4,28.0,77.35,0.5673720379670458,-0.556908873054716,"{""type"":""Point"",""coordinates"":[77.35,28.0]}"
20,,,2.9424001107207135E-4,28.0,77.5,0.5532620661788515,-0.5676364799340567,"{""type"":""Point"",""coordinates"":[77.5,27.999999999999996]}"
21,,,1.684306949530286E-4,28.15,74.5,0.5334029217561088,0.3429534587595198,"{""type"":""Point"",""coordinates"":[74.5,28.15]}"
22,,,1.5619227418047404E-4,28.15,74.65,0.5603858861658307,0.3290337132083046,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.14999999999999]}"
23,,,1.8012524535793614E-4,28.15,74.8,0.5834249622291988,0.33814321027861705,"{""type"":""Point"",""coordinates"":[74.8,28.15]}"
24,,,2.0006424580419876E-4,28.15,74.95,0.5460036297639211,0.3929585450225405,"{""type"":""Point"",""coordinates"":[74.95,28.15]}"
25,,,1.918397755294756E-4,28.15,75.1,0.45512262119187263,0.50723331173261,"{""type"":""Point"",""coordinates"":[75.1,28.15]}"
26,,,2.029809830221306E-4,28.15,75.25,0.37903077006340047,0.5681050293975407,"{""type"":""Point"",""coordinates"":[75.25,28.15]}"
27,,,2.003653384205344E-4,28.15,75.4,0.34696561164326145,0.5657138076093465,"{""type"":""Point"",""coordinates"":[75.4,28.15]}"
28,,,2.088747356543716E-4,28.15,75.55,0.4349871231449976,0.4804005616241032,"{""type"":""Point"",""coordinates"":[75.55,28.15]}"
29,,,2.0627083554537677E-4,28.15,75.7,0.5234172311094071,0.40317684743139487,"{""type"":""Point"",""coordinates"":[75.7,28.15]}"
30,,,1.901243260949457E-4,28.15,75.85,0.6068343182404835,0.31698774695396403,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.15]}"
31,,,2.2676834968613586E-4,28.15,76.0,0.703245790137185,0.19181210133764479,"{""type"":""Point"",""coordinates"":[76.0,28.15]}"
32,,,2.2611071743814005E-4,28.15,76.15,0.6783899009227754,0.09629750715361696,"{""type"":""Point"",""coordinates"":[76.15,28.15]}"
33,,,2.5093678870992766E-4,28.15,76.3,0.6557051678498583,0.035547181632783705,"{""type"":""Point"",""coordinates"":[76.3,28.15]}"
34,,,2.5219211243820316E-4,28.15,76.45,0.6300924426979488,-0.06271874176131352,"{""type"":""Point"",""coordinates"":[76.45,28.15]}"
