system:index,date,dewpoint_temperature_2m,name,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20240101_0,2024-01-01,280.6128857930501,Delhi,99146.21061197917,283.94270515441895,8.52346317969932E-7,0.7845490773518881,-1.2378288904825847,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101_1,2024-01-01,292.7592887878418,Mumbai,101153.96061197917,298.61197598775226,8.52346317969932E-7,0.7397085825602213,-2.3649447758992515,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101_2,2024-01-01,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101_3,2024-01-01,286.8269971211751,Bangalore,91296.25227864583,294.82576179504395,2.938508885108604E-6,-2.156185785929362,0.738347053527832,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101_4,2024-01-01,287.4912223815918,Hyderabad,95383.75227864583,294.79972012837726,1.0609625746837992E-6,-1.7567513783772786,1.2231289545694988,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102_0,2024-01-02,280.579096476237,Delhi,99085.44124348958,283.23929023742676,2.5868415605145856E-6,0.5355822245279948,-1.3069050709406536,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102_1,2024-01-02,292.2611440022786,Mumbai,101100.23291015625,298.4044106801351,2.5868415605145856E-6,0.8053372701009115,-3.035318970680237,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102_2,2024-01-02,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102_3,2024-01-02,287.231440226237,Bangalore,91244.94124348958,293.64041328430176,2.616643882902281E-6,-2.2887585957845054,0.2841593821843465,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102_4,2024-01-02,288.0011342366536,Hyderabad,95322.89957682292,294.73994127909344,2.5868415605145856E-6,-2.2310396830240884,1.3392741282780964,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103_0,2024-01-03,281.0667972564697,Delhi,99054.10774739583,284.0014457702637,1.015067090293087E-5,0.6149603525797526,-0.8282648722330729,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103_1,2024-01-03,292.0575199127197,Mumbai,101024.2744140625,297.89247767130536,1.716613667213096E-6,0.8939520517985026,-3.4216283162434897,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103_2,2024-01-03,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103_3,2024-01-03,288.2267093658447,Bangalore,91185.10774739583,294.60951868693036,3.9862394322653927E-4,-2.487985610961914,0.5432357788085938,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103_4,2024-01-03,288.4829756418864,Hyderabad,95270.6494140625,295.3246879577637,1.5962123768531455E-5,-2.4298394521077475,1.9968490600585938,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104_0,2024-01-04,282.85057004292804,Delhi,99073.0986328125,286.19046211242676,2.814829355202164E-5,0.6985111236572266,-1.2280752261479695,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104_1,2024-01-04,291.6573734283447,Mumbai,101089.93196614583,297.05105781555176,5.684341886080802E-14,1.1605879465738933,-2.9362864891688027,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104_2,2024-01-04,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104_3,2024-01-04,290.64598019917804,Bangalore,91224.8486328125,293.3626626332601,0.0034919828177066847,-2.12623659769694,0.6254403988520304,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104_4,2024-01-04,286.59568723042804,Hyderabad,95278.4736328125,295.10330390930176,7.227063235859532E-6,-2.4269771575927734,2.1687550147374473,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240105_0,2024-01-05,283.7616659800212,Delhi,99126.01513671875,287.0803305308024,1.7395615577697754E-4,0.6473052899042765,-0.9278962214787801,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
