City,date,latitude,longitude,insat_aod,cloud_mask,qa_flag,solar_zenith_angle,satellite_zenith_angle,observation_time
Bangalore,2024-01-01,12.9716,77.5946,0.27222264480139285,0,0,24.86,14.41,08:30:00
Bangalore,2024-01-02,12.9716,77.5946,,1,2,25.62,17.53,08:30:00
Bangalore,2024-01-04,12.9716,77.5946,,1,2,25.16,15.6,08:30:00
Bangalore,2024-01-05,12.9716,77.5946,0.4106632061100734,0,0,25.02,15.79,08:30:00
Bangalore,2024-01-06,12.9716,77.5946,0.3257091885287672,0,0,24.96,15.17,08:30:00
Bangalore,2024-01-07,12.9716,77.5946,0.1906794255485652,0,0,25.57,15.94,08:30:00
Bangalore,2024-01-09,12.9716,77.5946,0.28590925456770916,0,0,26.77,14.97,08:30:00
Bangalore,2024-01-10,12.9716,77.5946,,1,2,27.17,15.97,08:30:00
Bangalore,2024-01-11,12.9716,77.5946,0.21198820724331274,0,0,28.84,15.55,08:30:00
Bangalore,2024-01-12,12.9716,77.5946,0.30068274333253875,0,0,27.08,11.04,08:30:00
Bangalore,2024-01-13,12.9716,77.5946,0.4114440676644873,0,0,27.89,12.17,08:30:00
Bangalore,2024-01-14,12.9716,77.5946,0.3886980278831241,0,0,29.35,17.22,08:30:00
Bangalore,2024-01-15,12.9716,77.5946,,1,2,29.86,12.9,08:30:00
Bangalore,2024-01-16,12.9716,77.5946,0.44416434257220194,0,0,28.96,14.54,08:30:00
Bangalore,2024-01-17,12.9716,77.5946,0.36329926481152297,0,0,28.58,14.82,08:30:00
Bangalore,2024-01-18,12.9716,77.5946,,1,2,31.08,16.99,08:30:00
Bangalore,2024-01-19,12.9716,77.5946,0.3688324092371891,0,0,30.78,14.0,08:30:00
Bangalore,2024-01-20,12.9716,77.5946,,1,2,30.86,14.25,08:30:00
Bangalore,2024-01-21,12.9716,77.5946,0.28810367443457047,0,0,29.11,18.69,08:30:00
Bangalore,2024-01-22,12.9716,77.5946,,1,2,31.21,13.93,08:30:00
Bangalore,2024-01-23,12.9716,77.5946,0.28054456351455914,0,0,32.91,18.43,08:30:00
Bangalore,2024-01-24,12.9716,77.5946,0.2734155569038545,0,0,31.82,14.08,08:30:00
Bangalore,2024-01-25,12.9716,77.5946,0.33995507007741527,0,0,32.1,8.36,08:30:00
Bangalore,2024-01-26,12.9716,77.5946,,1,2,32.37,12.99,08:30:00
Bangalore,2024-01-27,12.9716,77.5946,0.16840159733771495,0,0,33.43,15.64,08:30:00
Bangalore,2024-01-28,12.9716,77.5946,0.19691344874689762,0,0,31.43,14.93,08:30:00
Bangalore,2024-01-29,12.9716,77.5946,,1,2,36.12,16.19,08:30:00
Bangalore,2024-01-30,12.9716,77.5946,,1,2,33.93,12.08,08:30:00
Bangalore,2024-01-31,12.9716,77.5946,,1,2,35.02,13.0,08:30:00
Bangalore,2024-02-01,12.9716,77.5946,0.3330338674877061,0,0,33.69,15.19,08:30:00
Bangalore,2024-02-02,12.9716,77.5946,,1,2,35.8,15.25,08:30:00
Bangalore,2024-02-03,12.9716,77.5946,0.2697581854711086,0,0,33.62,15.17,08:30:00
