system:index,date,mean,name,.geo
20240101T074458_20240102T213126_0,2024-01-01,0.056681471553756156,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T074458_20240102T213126_1,2024-01-01,0.056288250805692115,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T074458_20240102T213126_2,2024-01-01,0.04389623616246286,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T074458_20240102T213126_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T074458_20240102T213126_4,2024-01-01,0.04241988492989696,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T092629_20240102T231051_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T092629_20240102T231051_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T092629_20240102T231051_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T092629_20240102T231051_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T092629_20240102T231051_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T110759_20240103T005129_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T110759_20240103T005129_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T110759_20240103T005129_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T110759_20240103T005129_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T110759_20240103T005129_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T124929_20240103T024056_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T124929_20240103T024056_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T124929_20240103T024056_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T124929_20240103T024056_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T124929_20240103T024056_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T143058_20240103T042059_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T143058_20240103T042059_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T143058_20240103T042059_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T143058_20240103T042059_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T143058_20240103T042059_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T161228_20240103T060102_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T161228_20240103T060102_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T161228_20240103T060102_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T161228_20240103T060102_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T161228_20240103T060102_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T175358_20240103T074105_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T175358_20240103T074105_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T175358_20240103T074105_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T175358_20240103T074105_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T175358_20240103T074105_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T193528_20240103T092142_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T193528_20240103T092142_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T193528_20240103T092142_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T193528_20240103T092142_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T193528_20240103T092142_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T211658_20240103T110111_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T211658_20240103T110111_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T211658_20240103T110111_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T211658_20240103T110111_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T211658_20240103T110111_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T225828_20240103T124154_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T225828_20240103T124154_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T225828_20240103T124154_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T225828_20240103T124154_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T225828_20240103T124154_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T003958_20240103T143120_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T003958_20240103T143120_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T003958_20240103T143120_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T003958_20240103T143120_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T003958_20240103T143120_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T022128_20240103T161123_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T022128_20240103T161123_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T022128_20240103T161123_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T022128_20240103T161123_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T022128_20240103T161123_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T040258_20240103T175126_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T040258_20240103T175126_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T040258_20240103T175126_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T040258_20240103T175126_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T040258_20240103T175126_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T054428_20240103T193130_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T054428_20240103T193130_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T054428_20240103T193130_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
