epoch,train_loss,val_loss,rmse,mae,r2,pearson_r
1,14436.4435,11464.4526,107.07,84.0,-1.5998,0.6862
2,11035.7718,6977.5702,83.53,51.29,-0.5823,0.6807
3,5705.5671,4522.3087,67.25,51.2,-0.0255,0.7066
4,4251.174,4343.9805,65.91,48.08,0.0149,0.21
5,3426.8584,2251.7457,47.45,26.35,0.4894,0.8505
6,1500.5324,902.0954,30.03,18.56,0.7954,0.9549
7,976.5575,627.7928,25.06,16.52,0.8576,0.9357
8,925.5924,327.9314,18.11,11.47,0.9256,0.9809
9,725.8783,424.9051,20.61,14.42,0.9036,0.9789
10,587.8098,381.2925,19.53,13.98,0.9135,0.975
11,489.8877,520.4518,22.81,14.21,0.882,0.9774
12,620.6631,155.9042,12.49,9.6,0.9646,0.9837
13,386.7364,273.7352,16.54,10.46,0.9379,0.9843
14,428.0819,253.2329,15.91,11.22,0.9426,0.9888
15,442.5766,249.2321,15.79,11.64,0.9435,0.99
16,398.4024,236.9718,15.39,11.56,0.9463,0.9903
17,310.4926,171.4249,13.09,10.71,0.9611,0.9866
18,405.7797,104.6808,10.23,6.91,0.9763,0.9926
19,283.1737,172.3954,13.13,7.54,0.9609,0.9851
20,350.4188,143.5612,11.98,8.9,0.9674,0.9886
21,319.2071,190.4315,13.8,10.79,0.9568,0.9872
22,360.4967,107.6417,10.38,8.2,0.9756,0.9901
23,497.1696,201.5131,14.2,10.64,0.9543,0.9879
24,369.989,136.5609,11.69,6.33,0.969,0.9941
25,294.1792,215.2108,14.67,8.8,0.9512,0.9951
26,314.7274,110.3152,10.5,7.16,0.975,0.988
27,323.9191,105.1891,10.26,6.84,0.9761,0.9913
28,307.068,99.8514,9.99,7.55,0.9774,0.9961
29,280.619,44.9775,6.71,5.17,0.9898,0.9961
30,302.605,45.8219,6.77,4.63,0.9896,0.9952
31,262.2818,87.4312,9.35,6.25,0.9802,0.9966
32,255.8005,108.2925,10.41,6.23,0.9754,0.9959
33,244.4586,48.276,6.95,4.77,0.9891,0.9973
34,283.1727,67.4427,8.21,5.24,0.9847,0.9972
35,350.4159,52.0748,7.22,5.04,0.9882,0.9962
36,246.1065,56.6609,7.53,5.35,0.9872,0.995
37,268.7813,52.8494,7.27,4.22,0.988,0.9946
38,275.8808,58.4131,7.64,4.69,0.9868,0.9961
39,273.0797,50.7546,7.12,4.72,0.9885,0.9946
40,327.2236,64.7699,8.05,4.62,0.9853,0.9946
41,260.4387,53.7879,7.33,4.7,0.9878,0.9947
